"","user_id","screen_name","name","location","description","followers_count","friends_count","statuses_count","account_created_at","type"
"1","4878461206","Pedro_Olaechea","Pedro Olaechea","Lima, Peru","Presidente del Congreso de la República (@congresoperu). Parte de Acción Republicana. Ex ministro de @Minproduccion. #CongresoAlBicentenario",45125,580,2567,2016-02-05 18:34:38,"Congress"
"2","67978697","rosamariabartra","Rosa María Bartra","La Libertad, Peru","Congresista de la @BankadaFP. Primera Vicepresidenta del @congresoperu 2016 - 2017. Pdta de @LavaJato_Peru. Pdta. de @ConstitucionCGR  2018 - 2020",39917,854,7512,2009-08-22 20:44:06,"Congress"
"3","3379052049","KarinaBeteta01","Karina Beteta Rubin","","Congresista de la Republica",45275,1141,6572,2015-07-16 17:56:58,"Congress"
"4","350460605","SalvadorHeresi","Salvador Heresi","Lima, Perú","2° Vice Presidente del Parlamento Peruano, Congresista, Ex Ministro de Justicia y Secretario General del Partido Contigo",50387,1190,15173,2011-08-07 20:23:12,"Congress"
"5","763924486794022913","josemarvinpalma","Marvin Palma","Peru","🇵🇪Congresista del Perú",3842,209,418,2016-08-12 02:26:05,"Congress"
"6","2535819398","peru21politica","Peru21 Política","","Peru21 Política",3595,19,0,2014-05-30 20:47:03,"Media"
"7","9075022","RPPNoticias","RPP Noticias","Lima, Peru","Noticias del Perú y el mundo actualizadas desde nuestra redacción minuto a minuto.",1828255,949,377468,2007-09-24 18:45:40,"Media"
"8","66746614","larepublica_pe","Diario La República","Lima, Perú.","La República informa a través de Twitter lo que sucede en el Perú y el mundo. También en @Politica_LR @DeportesLR y @LRTendencias",2028957,903,500760,2009-08-18 17:49:35,"Media"
"9","44932117","Caretas","Revista Caretas","Lima, Perú","Actualidad candente, investigación y humor desde 1950. https://t.co/zDAV02WK5G",685093,682,25876,2009-06-05 16:35:22,"Media"
"10","124843312","ensustrece","Hildebrandtensus13","Lima, Peru","Cuenta oficial y única de Hildebrandt en sus trece, el semanario político y de investigación dirigido por César #Hildebrandt desde Lima y desde abril de 2010.",1384595,408,22829,2010-03-20 19:26:51,"Media"
"11","1616146872","Politica_ECpe","Política El Comercio","Lima, Perú","Cuenta oficial de la sección Política del diario El Comercio.",243753,610,67256,2013-07-23 21:44:58,"Media"
"12","829750511624679424","Politica_LR","Política LRepública","Lima, Peru","Todas las noticias políticas y económicas del Perú y el mundo. También nos puedes encontrar en @LaRepublica_pe",88434,44,25707,2017-02-09 17:55:12,"Media"
"13","2205328350","exitosape","Exitosa Noticias","Lima, Peru","La plataforma de medios informativos más grande del Perú 📻",218393,748,128636,2013-11-20 17:52:12,"Media"
"14","396751441","PanoramaPTV","Panorama","Perú","Los destapes de la semana, los vio primero en Panorama. Con la conducción y dirección de @RosanaCuevaM. Los domingos a las 7:50 p.m. por @PanamericanaTV",375274,26,12784,2011-10-23 18:30:53,"Media"
"15","112570023","IDL_R","IDL-Reporteros","Perú","Somos un equipo de periodistas de investigación dirigido por Gustavo Gorriti. Encuéntranos en https://t.co/CS8bgGGNZk",619956,611,9128,2010-02-09 00:06:12,"Media"
"16","4825296327","MartinVizcarraC","Martín Vizcarra","Perú","Presidente de la República del Perú.",651658,518,1686,2016-01-18 21:00:08,"Politicians"
"17","271439668","Poder_Judicial_","Poder Judicial Perú","Lima - Perú","Poder Judicial del Perú - Corte Suprema",369568,503,13730,2011-03-24 14:22:28,"Government"
"18","122441438","presidenciaperu","Presidencia Perú","Perú","Gobierno del Perú informa.",719631,322,45350,2010-03-12 18:31:47,"Government"
"19","173020528","pcmperu","Consejo de Ministros","Lima - Perú","Presidencia del Consejo de Ministros: Promovemos un Estado moderno, articulado y descentralizado, orientado a brindar un servicio de calidad a la ciudadanía",376517,561,47848,2010-07-31 05:50:39,"Government"
"20","261955501","malditaternura","beto ortiz","Lima","Soy periodista y no tengo amigos, tengo fuentes. Instagram: @betoortiz28",3690006,1888,46154,2011-03-07 01:51:30,"Journalists"
"21","119174866","rmapalacios","Rosa María Palacios","Lima, Peru","Periodista expulsada por ser excesivamente independiente (Mario Vargas Llosa)",2952794,95,88844,2010-03-02 22:06:08,"Journalists"
"22","112801997","alvarezrodrich","Augusto Alvarez Rodrich","Lima, Peru","Periodista",2091440,1269,26547,2010-02-09 19:16:06,"Journalists"
"23","224916991","MilagrosLeivaG","milagrosleiva","Lima, Perú","Instagram:@milaleivagalvez Blog Base4: https://t.co/TWPI97ypuS #EdicionMatinal en @atv_noticias YouTube: “Mamá no lo sabe todo” y “Vida y Milagros”. RTs JFI",2021050,886,112406,2010-12-10 05:42:21,"Journalists"
"24","458728203","JulianaOxenford","Juliana Oxenford","Lima, Peru","Mamá de María y periodista",1885681,575,33490,2012-01-08 21:52:46,"Journalists"
"25","131331924","VeroLinaresC","Verónica Linares","Lima - Perú","Periodista y nada más. 
Instagram: @verolinaresc
Facebook: La Linares",1609850,796,42569,2010-04-09 23:55:09,"Journalists"
"26","281503351","VertizPamela","Pamela Vértiz","","Periodista, conductora Día D (Domingos 10 pm ATV) y En Contacto(L-V 1-4pmATV+)mamá de Marcelo y Patricio. RTs para informar. #girlpower🌸",735433,1108,24939,2011-04-13 12:13:55,"Journalists"
"27","44923359","valiabarak","Valia Barak Pastor 🌻🌻🌻","Lima, Perú","Aquí, las opiniones son sólo mías!!! ///                   RT no significa aceptación /// En Instagram: valiabarak",357422,3980,132724,2009-06-05 15:58:54,"Journalists"
"28","32532614","claudiacisneros","claudia cisneros","Peru","Journalist, Human & Civil Rights Advocate. Columnist at @larepublica_pe & / OU CommDev & Jour Master/ President for #SpeakUp Student Org fighting Patriarchy",555332,3177,83526,2009-04-17 19:25:29,"Journalists"
"29","284350852","recisneros","Renato Cisneros","Madrid, Comunidad de Madrid","Escritor/periodista. Columnista en @SomosElComercio.    Nuevo libro: «Algún día te mostraré el desierto».     Vive en Madrid. 🇵🇪🇪🇸",396962,1345,54166,2011-04-19 03:50:29,"Journalists"
"30","29330019","lamula","La Mula","","Miles de periodistas ciudadanos comparten aquí sus noticias e historias. Tú publicas y nosotros lo difundimos. Y en Facebook: https://t.co/Bj7N33GrbY",1013005,2363,200035,2009-04-06 23:50:19,"Blogs"
"31","14165101","uterope","Útero.Pe","Perú","Periodismo disfrazado de webeo. Para que te informes mientras webeas.",1309983,1155,152768,2008-03-17 19:03:55,"Blogs"
"32","114858832","Ideele","IDL","Perú","El IDL es una institución de la sociedad civil cuyo fin es la promoción y defensa de los DDHH, la democracia y la paz en el Perú y América Latina.",76750,388,4664,2010-02-16 20:54:40,"Interest Groups"
"33","2582629795","Ojo_Publico","Ojo-Publico. com","Lima, Perú","Investigamos el poder. Premios Data Journalism Awards 2015, Derechos humanos 2015- Perú, SIP 2017 -2018, LASA 2019",64080,488,37564,2014-06-22 17:59:59,"Interest Groups"
